LONG;LAT
149.7159768596;-36.830511191
149.7163595838;-36.8305024415
149.7167423078;-36.8304936907
149.7171250317;-36.8304849387
149.7175077554;-36.8304761854
149.7178904789;-36.830467431
149.7182732023;-36.8304586753
149.7186559255;-36.8304499183
149.6907274818;-36.8313936079
149.6911102183;-36.8313849394
149.6914929547;-36.8313762697
149.691875691;-36.8313675988
149.6922584271;-36.8313589267
149.692641163;-36.8313502533
149.6930238987;-36.8313415787
149.6934066343;-36.8313329028
149.6937893697;-36.8313242258
149.694172105;-36.8313155475
149.6945548401;-36.8313068679
149.694937575;-36.8312981872
149.6953203098;-36.8312895052
149.6957030444;-36.831280822
149.6960857788;-36.8312721375
149.6964685131;-36.8312634519
149.6968512472;-36.8312547649
149.6972339812;-36.8312460768
149.697616715;-36.8312373874
149.6979994486;-36.8312286968
149.698382182;-36.831220005
149.6987649153;-36.8312113119
149.6991476485;-36.8312026177
149.6995303814;-36.8311939221
149.6999131142;-36.8311852254
149.7002958469;-36.8311765274
149.7006785793;-36.8311678282
149.7010613116;-36.8311591277
149.7014440438;-36.8311504261
149.7018267758;-36.8311417232
149.7022095076;-36.831133019
149.7025922392;-36.8311243137
149.7029749707;-36.8311156071
149.703357702;-36.8311068993
149.7037404332;-36.8310981902
149.7041231642;-36.8310894799
149.704505895;-36.8310807684
149.7048886257;-36.8310720557
149.7052713562;-36.8310633417
149.7056540865;-36.8310546265
149.7060368167;-36.83104591
149.7064195467;-36.8310371924
149.7068022765;-36.8310284735
149.7071850062;-36.8310197534
149.7075677357;-36.831011032
149.707950465;-36.8310023094
149.7083331942;-36.8309935856
149.7087159232;-36.8309848605
149.7090986521;-36.8309761343
149.7094813808;-36.8309674068
149.7098641093;-36.830958678
149.7102468377;-36.8309499481
149.7106295659;-36.8309412169
149.7110122939;-36.8309324844
149.7113950218;-36.8309237508
149.7117777494;-36.8309150159
149.712160477;-36.8309062798
149.7125432043;-36.8308975424
149.7129259316;-36.8308888038
149.7133086586;-36.830880064
149.7136913855;-36.830871323
149.7140741122;-36.8308625807
149.7144568387;-36.8308538372
149.7148395651;-36.8308450925
149.7152222913;-36.8308363465
149.7156050174;-36.8308275993
149.7159877432;-36.8308188509
149.716370469;-36.8308101013
149.7167531945;-36.8308013504
149.7171359199;-36.8307925983
149.7175186451;-36.8307838449
149.7179013702;-36.8307750904
149.7182840951;-36.8307663346
149.7186668198;-36.8307575775
149.6907382646;-36.8317012741
149.6911210027;-36.8316926056
149.6915037407;-36.8316839358
149.6918864784;-36.8316752648
149.692269216;-36.8316665925
149.6926519535;-36.831657919
149.6930346908;-36.8316492443
149.6934174279;-36.8316405684
149.6938001648;-36.8316318912
149.6941829016;-36.8316232129
149.6945656383;-36.8316145332
149.6949483747;-36.8316058524
149.695331111;-36.8315971703
149.6957138471;-36.831588487
149.6960965831;-36.8315798024
149.6964793189;-36.8315711167
149.6968620546;-36.8315624296
149.69724479;-36.8315537414
149.6976275254;-36.8315450519
149.6980102605;-36.8315363612
149.6983929955;-36.8315276693
149.6987757303;-36.8315189762
149.699158465;-36.8315102818
149.6995411995;-36.8315015862
149.6999239338;-36.8314928893
149.700306668;-36.8314841912
149.700689402;-36.8314754919
149.7010721358;-36.8314667914
149.7014548695;-36.8314580896
149.701837603;-36.8314493866
149.7022203363;-36.8314406824
149.7026030695;-36.8314319769
149.7029858025;-36.8314232702
149.7033685354;-36.8314145623
149.703751268;-36.8314058532
149.7041340006;-36.8313971428
149.7045167329;-36.8313884312
149.7048994651;-36.8313797183
149.7052821971;-36.8313710043
149.705664929;-36.831362289
149.7060476607;-36.8313535724
149.7064303922;-36.8313448547
149.7068131236;-36.8313361357
149.7071958548;-36.8313274154
149.7075785859;-36.831318694
149.7079613167;-36.8313099713
149.7083440474;-36.8313012474
149.708726778;-36.8312925222
149.7091095084;-36.8312837959
149.7094922386;-36.8312750683
149.7098749686;-36.8312663394
149.7102576985;-36.8312576094
149.7106404282;-36.8312488781
149.7110231578;-36.8312401455
149.7114058872;-36.8312314118
